filename,classification
2019_81_01_1_0033_00000494.jpg,3.0
2019_81_01_1_0033_00000495.jpg,3.0
2019_81_01_1_0033_00000496.jpg,3.0
2019_81_01_1_0033_00000497.jpg,3.0
2019_81_01_1_0033_00000498.jpg,3.0
2019_81_01_1_0033_00000499.jpg,2.0
2019_81_01_1_0034_00000371.jpg,3.0
2019_81_01_1_0034_00000372.jpg,3.0
2019_81_01_1_0034_00000373.jpg,2.0
2019_81_01_1_0034_00000374.jpg,2.0
2019_81_01_1_0034_00000375.jpg,3.0
2019_81_01_1_0034_00000376.jpg,3.0
2019_81_01_1_0035_00000215.jpg,3.0
2019_81_01_1_0035_00000216.jpg,2.0
2019_81_01_1_0035_00000217.jpg,1.0
2019_81_01_1_0035_00000218.jpg,1.0
2019_81_01_1_0035_00000219.jpg,2.0
2019_81_01_1_0035_00000220.jpg,3.0
2019_81_01_1_0036_00000082.jpg,3.0
2019_81_01_1_0036_00000083.jpg,3.0
2019_81_01_1_0036_00000084.jpg,2.0
2019_81_01_1_0036_00000085.jpg,1.0
2019_81_01_1_0036_00000086.jpg,2.0
2019_81_01_1_0036_00000087.jpg,3.0
2019_81_01_1_0037_00001433.jpg,3.0
2019_81_01_1_0037_00001434.jpg,3.0
2019_81_01_1_0037_00001435.jpg,3.0
2019_81_01_1_0037_00001436.jpg,3.0
2019_81_01_1_0037_00001437.jpg,3.0
2019_81_01_1_0037_00001438.jpg,3.0
2019_81_01_2_0033_00000498.jpg,3.0
2019_81_01_2_0033_00000499.jpg,3.0
2019_81_01_2_0033_00000500.jpg,3.0
2019_81_01_2_0033_00000501.jpg,3.0
2019_81_01_2_0033_00000502.jpg,3.0
2019_81_01_2_0033_00000503.jpg,3.0
2019_81_01_2_0033_00000504.jpg,3.0
2019_81_01_2_0034_00000366.jpg,3.0
2019_81_01_2_0034_00000367.jpg,3.0
2019_81_01_2_0034_00000368.jpg,2.0
2019_81_01_2_0034_00000369.jpg,2.0
2019_81_01_2_0034_00000370.jpg,2.0
2019_81_01_2_0034_00000371.jpg,3.0
2019_81_01_2_0035_00000220.jpg,3.0
2019_81_01_2_0035_00000221.jpg,2.0
2019_81_01_2_0035_00000222.jpg,1.0
2019_81_01_2_0035_00000223.jpg,1.0
2019_81_01_2_0035_00000224.jpg,2.0
2019_81_01_2_0035_00000225.jpg,3.0
2019_81_01_2_0036_00000077.jpg,3.0
2019_81_01_2_0036_00000078.jpg,2.0
2019_81_01_2_0036_00000079.jpg,1.0
2019_81_01_2_0036_00000080.jpg,1.0
2019_81_01_2_0036_00000081.jpg,1.0
2019_81_01_2_0036_00000082.jpg,3.0
2019_81_01_2_0037_00001438.jpg,3.0
2019_81_01_2_0037_00001439.jpg,3.0
2019_81_01_2_0037_00001440.jpg,2.0
2019_81_01_2_0037_00001441.jpg,3.0
2019_81_01_2_0037_00001442.jpg,3.0
2019_81_01_2_0037_00001443.jpg,3.0
2019_81_01_3_0033_00000489.jpg,3.0
2019_81_01_3_0033_00000490.jpg,3.0
2019_81_01_3_0033_00000491.jpg,3.0
2019_81_01_3_0033_00000492.jpg,3.0
2019_81_01_3_0033_00000493.jpg,3.0
2019_81_01_3_0033_00000494.jpg,3.0
2019_81_01_3_0034_00000376.jpg,3.0
2019_81_01_3_0034_00000377.jpg,2.0
2019_81_01_3_0034_00000378.jpg,2.0
2019_81_01_3_0034_00000379.jpg,2.0
2019_81_01_3_0034_00000380.jpg,2.0
2019_81_01_3_0034_00000381.jpg,3.0
2019_81_01_3_0035_00000210.jpg,3.0
2019_81_01_3_0035_00000211.jpg,2.0
2019_81_01_3_0035_00000212.jpg,1.0
2019_81_01_3_0035_00000213.jpg,1.0
2019_81_01_3_0035_00000214.jpg,1.0
2019_81_01_3_0035_00000215.jpg,2.0
2019_81_01_3_0036_00000087.jpg,3.0
2019_81_01_3_0036_00000088.jpg,2.0
2019_81_01_3_0036_00000089.jpg,1.0
2019_81_01_3_0036_00000090.jpg,1.0
2019_81_01_3_0036_00000091.jpg,2.0
2019_81_01_3_0036_00000092.jpg,3.0
2019_81_01_3_0037_00001428.jpg,3.0
2019_81_01_3_0037_00001429.jpg,3.0
2019_81_01_3_0037_00001430.jpg,3.0
2019_81_01_3_0037_00001431.jpg,3.0
2019_81_01_3_0037_00001432.jpg,3.0
2019_81_01_3_0037_00001433.jpg,3.0
2019_81_01_4_0030_00000923.jpg,3.0
2019_81_01_4_0030_00000924.jpg,3.0
2019_81_01_4_0030_00000925.jpg,3.0
2019_81_01_4_0031_00000767.jpg,3.0
2019_81_01_4_0031_00000768.jpg,3.0
2019_81_01_4_0031_00000769.jpg,3.0
2019_81_01_4_0031_00000770.jpg,3.0
2019_81_01_4_0031_00000771.jpg,3.0
2019_81_01_4_0031_00000772.jpg,3.0
2019_81_01_4_0031_00000773.jpg,3.0
2019_81_01_4_0032_00000650.jpg,3.0
2019_81_01_4_0032_00000651.jpg,2.0
2019_81_01_4_0032_00000652.jpg,2.0
2019_81_01_4_0032_00000653.jpg,2.0
2019_81_01_4_0032_00000654.jpg,2.0
2019_81_01_4_0032_00000655.jpg,3.0
2019_81_01_4_0032_00000656.jpg,3.0
